input,P(d=5),P(d=6),P(d=7),P(d=8),P(d=9),P(d=10),P(d=11),P(d=12),P(d=13),P(d=14),P(d=15),P(d=16),P(d=17),P(d=18),P(d=19),P(d=20),P(d=21),P(d=22),P(d=23),P(d=24),P(d=25),P(d=26),P(d=27),P(d=28),P(d=29),P(d=30),P(d=31),P(d=32),P(d=33),P(d=34),P(d=35),guess
H,0.00013,0.00063,0.00190,0.00443,0.00881,0.01575,0.02591,0.03930,0.05517,0.07204,0.08782,0.10014,0.10671,0.10591,0.09786,0.08410,0.06708,0.04948,0.03358,0.02086,0.01183,0.00607,0.00279,0.00113,0.00040,0.00012,0.00003,0.00001,0.00000,0.00000,0.00000,17
L,0.00000,0.00000,0.00000,0.00001,0.00003,0.00012,0.00040,0.00113,0.00279,0.00607,0.01183,0.02086,0.03358,0.04948,0.06708,0.08410,0.09786,0.10591,0.10671,0.10014,0.08782,0.07204,0.05517,0.03930,0.02591,0.01575,0.00881,0.00443,0.00190,0.00063,0.00013,23
E,0.00000,0.00000,0.00001,0.00007,0.00028,0.00091,0.00251,0.00602,0.01260,0.02335,0.03890,0.05874,0.08074,0.10086,0.11497,0.12005,0.11497,0.10086,0.08074,0.05874,0.03890,0.02335,0.01260,0.00602,0.00251,0.00091,0.00028,0.00007,0.00001,0.00000,0.00000,20
HL,0.00000,0.00000,0.00000,0.00002,0.00010,0.00040,0.00133,0.00370,0.00884,0.01843,0.03391,0.05550,0.08119,0.10623,0.12464,0.13143,0.12464,0.10623,0.08119,0.05550,0.03391,0.01843,0.00884,0.00370,0.00133,0.00040,0.00010,0.00002,0.00000,0.00000,0.00000,20
HHL,0.00000,0.00000,0.00001,0.00004,0.00022,0.00086,0.00279,0.00760,0.01764,0.03527,0.06129,0.09309,0.12378,0.14383,0.14604,0.12951,0.10011,0.06719,0.03895,0.01940,0.00826,0.00297,0.00089,0.00022,0.00004,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,19
EEEEEE,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00008,0.00072,0.00429,0.01815,0.05526,0.12038,0.19038,0.22145,0.19038,0.12038,0.05526,0.01815,0.00429,0.00072,0.00008,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20
HHHH...,0.00063,0.00316,0.00942,0.02161,0.04181,0.07082,0.10658,0.14046,0.16007,0.15572,0.12739,0.08605,0.04700,0.02032,0.00682,0.00175,0.00033,0.00005,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13
LLLL...,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00033,0.00175,0.00682,0.02032,0.04700,0.08605,0.12739,0.15572,0.16007,0.14046,0.10658,0.07082,0.04181,0.02161,0.00942,0.00316,0.00063,27
HHHH...,0.00094,0.00467,0.01385,0.03152,0.05996,0.09854,0.14090,0.17136,0.17336,0.14256,0.09285,0.04650,0.01734,0.00466,0.00088,0.00011,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13
LLLL...,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00011,0.00088,0.00466,0.01734,0.04650,0.09285,0.14256,0.17336,0.17136,0.14090,0.09854,0.05996,0.03152,0.01385,0.00467,0.00094,27
HHHH...,0.00000,0.00005,0.00049,0.00258,0.00980,0.02900,0.06912,0.13010,0.19033,0.21313,0.17915,0.11025,0.04819,0.01448,0.00291,0.00038,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14
LLLL...,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00003,0.00038,0.00291,0.01448,0.04819,0.11025,0.17915,0.21313,0.19033,0.13010,0.06912,0.02900,0.00980,0.00258,0.00049,0.00005,0.00000,26
